## 1 - Global Brands,,,,,
Region,Industry,Name,YouTube URL,Channel ID,Fetch Method
TW,Alcohol,HeinekenTW,https://www.youtube.com/@HeinekenTW,UC-146HGOCaLgv9T7mHwtb0A,YouTube RSS
TW,Alcohol,台灣啤酒 Taiwan Beer,https://www.youtube.com/@ttltwbeer,UCWntOyIhrGQzKTiaiuLBlxQ,YouTube RSS
JP,Food & Beverage,日清食品グループ公式チャンネル (NISSIN),https://www.youtube.com/@NISSINchannel,UC_Mqb6toM3tO8aAD6Q5HXvA,YouTube RSS
TW,Food & Beverage,樂事,https://www.youtube.com/@樂事-p6r,UCC8hmK0guS6zpKn3lZPpENg,YouTube RSS
TW,Food & Beverage,Doritos Taiwan,https://www.youtube.com/@doritostaiwan7805,UCE7bErj9SxHvCc4njc-MSaQ,YouTube RSS
TW,Fashion,UniqloTaiwan,https://www.youtube.com/@UniqloTaiwan,UCnhbHFASF1aaCMqqxtIlu4w,YouTube RSS
JP,FMCG,大塚製薬 公式チャンネル,https://www.youtube.com/@otsukaseiyaku,UCOgqmqpvV9wIjcXbhb6Ee6Q,YouTube RSS
TW,FMCG,Dove Taiwan,https://www.youtube.com/@DoveBrandChannel,UC5uoI10oVca2CJ1loouD5AA,YouTube RSS
US,FMCG,Dove US,https://www.youtube.com/@doveunitedstates,UC0uGC_EBwAxw3ljqeGjy2qw,YouTube RSS
TW,FMCG,SK-II Taiwan,https://www.youtube.com/@skii-taiwan,UC6PikCyA4o4-ZC9YR1GDHmA,YouTube RSS
JP,FMCG,SK-II Japan,https://www.youtube.com/@skii-japan,UC1pLeaDml5ESomtqkR_yR4A,YouTube RSS
JP,FMCG,資生堂 Shiseido Co. Ltd.,https://www.youtube.com/@SHISEIDOofficial,UCrgHdSQWAXEv1QZpzgrJHnA,YouTube RSS
TW,Finance,台新新光金控 TS Holdings,https://www.youtube.com/@ts-holdings,UCUBjCFAhx9zlUCMVVQpuxLA,YouTube RSS
TW,Homeware,TOTO台灣東陶,https://www.youtube.com/@TaiwanTOTO2013,UCr34gQo0Xucxamavu8v5wEA,YouTube RSS
,,,,,
## 4 - Media,,,,,
Region,Industry,Name,URL,Channel ID,Fetch Method
Global,Awards,Spikes Asia,https://www.spikes.asia,,RSS
Global,Awards,The One Show,https://www.oneshow.org,,RSS
Global,Awards,Cannes Lions,https://www.canneslions.com,,RSS
TW,TW Media,動腦雜誌 Brain Magazine,https://www.brain.com.tw/news/index,,RSS
TW,TW Media,數位時代 Business Next,https://www.bnext.com.tw,,RSS
TW,TW Media,INSIDE,https://www.inside.com.tw,,RSS
Global,Global Media,Adweek,https://www.adweek.com,,RSS
Global,Global Media,Marketing Week,https://www.marketingweek.com,,RSS
APAC,Global Media,Campaign Asia,https://www.campaignasia.com,,RSS
UK,Global Media,Campaign UK,https://www.campaignlive.co.uk,,RSS
US,Global Media,Campaign US,https://www.campaignlive.com,,RSS
Global,YouTube,Ads of Brands,https://www.youtube.com/@AdsofBrands,UCU5fuplXj_5gwSM6up-hHdw,YouTube RSS
Global,YouTube,Ads of the World by Clios,https://www.youtube.com/@AdsoftheWorldbyClio,UC4uBUZNkf2_CzUdBM42WuqA,YouTube RSS
Global,YouTube,adsoftheworldvideos,https://www.youtube.com/@adsoftheworldvideos,UCPUBNjqHt0xJGxvvIlnHf9g,YouTube RSS
KR,YouTube,오광TV,https://www.youtube.com/@Oh_KwangTV,UCxL-mycH-upGWCkUEjbjOeA,YouTube RSS
JP,YouTube,oricon (Japanese entertainment news),https://www.youtube.com/@oriconofficial,UCbZvkG2uAgr6Oiva4FytscQ,YouTube RSS
JP,YouTube,HATtokyo,https://www.youtube.com/@HATtokyo,UChKbkOP91pWWZmEsojBn4jg,YouTube RSS
TW,YouTube,廣告裁判,https://www.youtube.com/@judge-ad,UCM1njsns1JCqepzvwnkT-oA,YouTube RSS
Global,YouTube,LLLLITL,https://www.youtube.com/@LLLLITL,UCOS4pjUGQRB0IT4gzKBi_Bw,YouTube RSS
JP,YouTube,MANTAN TV,https://www.youtube.com/@mantantv365,UCDE_gujqIP9wEBZy0lVH_8Q,YouTube RSS
Global,YouTube,"News, Sport and Commercials.",https://www.youtube.com/@rod1082,UCR_2neqKXxTxbMSu5OF_dnA,YouTube RSS
,,,,,
## 5 - Production,,,,,
Region,Industry,Name,YouTube URL,Channel ID,Fetch Method
TW,YouTube,大兼制作 DJfilm,https://www.youtube.com/@DJfilm2008,UCE9DXuG1RzLBLMIqc2wqrcQ,YouTube RSS
Global,YouTube,The Company Films,https://www.youtube.com/@TheCompanyFilms,UCEPT7bVLPuZ08i2yW7rFbPA,YouTube RSS
